Raw Ext Mean,Env Ext Mean,Raw Flex Mean,Env Flex Mean,Raw Ext Var,Env Ext Var,Raw Flex Var,Env Flex Var
2.49,1.33,2.49,0.4,0.54,0.02,0.01,0
2.52,1.18,2.47,0.46,0.53,0.02,0.01,0
2.55,1.15,2.47,0.59,0.35,0.01,0.01,0
2.52,1.08,2.48,0.7,0.29,0.01,0.01,0
2.5,0.93,2.48,0.68,0.18,0.1,0.01,0
2.54,1.94,2.48,0.67,0.12,0.2,0.02,0.01
2.53,2.1,2.48,0.77,0.19,0.26,0.03,0.01
2.5,0.93,2.48,0.66,0.15,0.16,0.02,0.01
2.51,0.73,2.49,0.48,0.17,0.01,0.02,0
2.53,0.86,2.49,0.45,0.19,0,0.02,0
2.52,0.81,2.49,0.43,0.14,0.01,0.01,0
2.53,0.64,2.49,0.4,0.1,0,0.02,0
2.55,0.55,2.49,0.42,0.09,0,0.02,0
2.53,0.54,2.52,0.51,0.16,0.04,0.11,0.03
2.53,1.04,2.49,1.35,0.37,0.16,0.51,0.12
2.56,1.15,2.46,1.64,0.31,0.13,0.49,0.11
2.54,0.66,2.5,1.39,0.09,0.01,0.19,0.02
2.52,0.59,2.5,1.69,0.1,0.01,0.27,0.01
2.48,0.73,2.48,1.77,0.1,0,0.31,0.03
2.49,0.77,2.5,1.66,0.08,0,0.31,0.02
2.49,0.67,2.55,1.46,0.07,0,0.25,0.01
2.52,0.55,2.5,1.35,0.05,0,0.25,0.01
2.56,0.68,2.44,1.09,0.22,0.13,0.19,0.01
2.48,1.5,2.48,0.79,0.94,0.14,0.05,0.03
2.45,2.08,2.49,1.04,1.27,0.04,0.02,0.03
2.53,1.85,2.48,1.17,0.97,0.03,0.02,0.02
2.54,1.71,2.48,0.84,0.92,0.03,0.02,0.01
2.57,1.57,2.49,0.75,0.75,0.04,0.01,0
2.55,1.46,2.5,0.8,0.63,0.03,0.01,0
2.52,1.37,2.48,0.82,0.64,0.01,0.01,0
2.59,1.33,2.48,0.8,0.62,0.03,0.02,0
2.6,1.98,2.49,0.78,0.39,0.75,0.02,0
2.53,3.44,2.53,1.14,0.13,0.87,0.25,0.05
2.46,3.23,2.51,1.56,0.2,0.38,0.42,0.08
2.5,1.43,2.44,1.4,0.19,0.25,0.29,0.04
2.53,0.85,2.46,0.98,0.17,0.04,0.19,0.01
2.54,1.26,2.53,0.76,0.15,0.03,0.11,0.01
2.53,1.39,2.52,0.73,0.13,0.02,0.05,0
2.53,1.09,2.49,0.76,0.16,0.03,0.04,0
2.54,0.86,2.48,0.78,0.17,0.02,0.03,0
2.56,0.89,2.48,0.83,0.14,0.63,0.03,0.01
2.61,2.89,2.49,0.91,0.4,0.64,0.03,0.01
2.5,4.75,2.48,0.95,0.43,0.01,0.05,0
2.39,4.44,2.48,0.87,0.25,0.3,0.05,0
2.44,3.45,2.47,0.76,0.26,0.31,0.05,0
2.5,2.47,2.48,0.66,0.18,0.06,0.04,0
2.53,1.63,2.49,0.58,0.17,0.08,0.02,0
2.51,1.23,2.49,0.54,0.21,0.04,0.02,0
2.49,1.24,2.46,0.6,0.21,0.04,0.09,0.01
2.5,2.56,2.48,0.67,0.17,0.63,0.11,0.04
2.48,4.37,2.52,1.34,0.29,0.62,0.6,0.07
2.49,4.74,2.39,1.97,0.41,0.01,0.85,0.05
2.49,3.99,2.35,1.93,0.33,0.15,0.44,0.02
2.5,2.7,2.45,1.53,0.28,0.17,0.25,0.04
2.53,1.93,2.46,0.99,0.25,0.02,0.15,0.02
2.53,1.63,2.43,0.88,0.19,0.01,0.18,0.01
