Ext Mean,Flex Mean,Ext Var,Flex Var,Gesture
1.86,0.73,2.03,0.2,S
1.81,0.69,2.13,0.26,
1.72,0.73,2.1,0.29,
1.4,0.71,1.57,0.21,
1.22,0.71,1.5,0.27,
1.24,0.72,1.25,0.3,
1.38,0.67,1.16,0.24,
1.44,0.67,1.67,0.19,
1.18,0.63,1.13,0.16,
0.85,0.83,0.54,0.68,
0.68,1.38,0.43,1.12,R
0.65,1.43,0.09,0.82,R
0.69,1.26,0.11,0.81,R
0.57,1.23,0.1,0.68,
0.4,1.16,0.08,0.39,
0.29,1.05,0.1,0.42,
0.23,0.97,0.09,0.37,
0.23,0.98,0.07,0.3,
0.22,0.9,0.09,0.29,
0.26,0.96,0.13,0.34,
0.24,0.95,0.1,0.31,
1.3,0.78,4.02,0.26,
3.05,1.15,6.29,0.82,S
2.89,1.3,3.6,0.82,S
1.75,0.9,2.15,0.33,
1.51,0.84,2.18,0.34,
1.59,0.83,2.17,0.26,
1.35,0.77,1.43,0.21,
1.13,0.7,1.19,0.17,
1.08,0.65,1.01,0.1,
1.05,0.65,0.89,0.13,
1.04,0.66,0.98,0.19,
1.08,0.66,0.95,0.22,
0.82,0.6,0.56,0.17,
0.81,0.86,0.67,0.6,
0.85,1.57,0.64,1.01,R
0.5,1.78,0.13,0.95,R
0.3,1.4,0.08,0.6,
0.2,1.08,0.07,0.27,
0.2,0.86,0.07,0.24,
0.19,0.78,0.06,0.25,
0.18,0.84,0.04,0.3,
0.18,0.86,0.05,0.26,
0.16,0.77,0.05,0.2,
0.14,0.74,0.04,0.2,
0.24,0.7,0.64,0.29,
1.49,0.72,3.34,0.46,
2.55,1.03,4.29,0.82,S
2.16,1.1,2.98,0.74,S
2,0.88,2.81,0.3,
1.94,0.81,2.13,0.39,
1.67,0.81,1.87,0.49,
1.57,0.82,1.93,0.36,
1.41,0.8,1.48,0.3,
1.44,0.8,1.81,0.26,
1.54,0.8,1.9,0.43,
1.54,0.81,1.81,0.45,R
1.63,0.82,1.93,0.31,R
1.46,0.75,1.29,0.21,R
1.05,0.89,0.65,0.32,
0.67,1.24,0.39,0.69,
0.4,1.31,0.17,0.78,
0.26,1.1,0.07,0.48,
0.23,0.91,0.06,0.3,
0.2,0.78,0.05,0.24,
0.17,0.69,0.06,0.14,
0.16,0.67,0.05,0.16,
0.15,0.69,0.04,0.14,
0.14,0.75,0.04,0.16,
0.14,0.76,0.04,0.27,
0.13,0.73,0.04,0.28,
0.52,0.67,0.75,0.14,
1.63,0.65,3.62,0.29,
2.28,0.9,4.99,0.67,S
