,,Ext Raw,Ext Env,Flex Raw,Flex Env,,,,,,,,,,
,,3.38,1.68,5.2,4.1,,3.38,1.68,5.2,4.1,,2.62,0.86,5.48,3.55
,,3.1,1.68,4.27,4.18,,3.1,1.68,4.27,4.18,,2.57,0.75,5.55,3.5
,,2.45,1.7,5.64,4.17,,2.45,1.7,5.64,4.17,,2.23,0.67,5.4,3.5
,,2.19,1.69,5.57,4.12,,2.19,1.69,5.57,4.12,,2.59,0.69,5.52,3.5
,,3.19,1.65,5.04,4.07,,3.19,1.65,5.04,4.07,,2.54,0.62,5.47,3.52
,,0.88,1.84,5.59,4,,0.88,1.84,5.59,4,,2.65,0.54,5.5,3.52
,,2.24,1.74,5.24,3.96,,2.24,1.74,5.24,3.96,,2.47,0.52,5.46,3.51
,,0.01,1.78,5.37,4.01,,0.01,1.78,5.37,4.01,,2.66,0.52,5.49,3.5
,,1.55,1.74,5.16,4.15,,1.55,1.74,5.16,4.15,,2.66,0.46,5.46,3.47
,,3.24,1.63,5.53,4.06,,3.24,1.63,5.53,4.06,,2.36,0.44,5.48,3.47
,,1.71,1.65,5.64,4,,1.71,1.65,5.64,4,,2.56,0.48,5.39,3.42
,,1.2,1.6,4.96,3.96,,1.2,1.6,4.96,3.96,,2.56,0.45,5.52,3.41
,,2.79,1.48,5.43,3.87,,2.79,1.48,5.43,3.87,,2.52,0.4,5.54,3.38
,,3.95,1.98,5.33,3.86,,3.95,1.98,5.33,3.86,,2.23,0.36,5.44,3.36
,,2.9,1.77,5.44,3.84,,2.9,1.77,5.44,3.84,,2.47,0.35,5.48,3.33
,,3.37,1.63,5.31,3.84,,3.37,1.63,5.31,3.84,,2.54,0.33,5.47,3.31
,,1.13,1.59,5.46,3.85,,1.13,1.59,5.46,3.85,,2.63,0.3,5.51,3.29
,,3.36,1.59,5.41,3.81,,3.36,1.59,5.41,3.81,,2.52,0.29,5.44,3.3
,,2.73,1.47,5.6,3.83,,2.73,1.47,5.6,3.83,,2.96,0.28,5.54,3.3
,,0.43,1.88,5.1,3.84,,0.43,1.88,5.1,3.84,,2.57,0.43,5.47,3.32
,,2.33,1.85,5.62,3.99,,2.33,1.85,5.62,3.99,,2.46,0.45,5.48,3.33
,,0.2,2.01,5.46,3.9,,0.2,2.01,5.46,3.9,,2.61,0.43,5.48,3.35
,,2.3,2.19,5.78,3.88,,2.3,2.19,5.78,3.88,,2.58,0.41,5.45,3.36
,,3.48,2.08,5.93,4.08,,3.48,2.08,5.93,4.08,,2.69,0.36,5.47,3.36
,,3.16,1.96,5.39,4.08,,3.16,1.96,5.39,4.08,,2.36,0.43,5.55,3.38
,,2.76,1.91,5.52,4.05,,2.76,1.91,5.52,4.05,,2.46,0.4,5.39,3.42
,,1.38,1.84,5.6,3.98,,1.38,1.84,5.6,3.98,,2.59,0.37,5.44,3.42
,,3.62,1.72,5.55,3.89,,3.62,1.72,5.55,3.89,,2.8,0.37,5.47,3.43
,,2.4,1.65,5.67,3.91,,2.4,1.65,5.67,3.91,,2.68,0.37,5.49,3.43
,,2.12,1.53,5.39,3.98,,2.12,1.53,5.39,3.98,,3.26,0.41,5.58,3.44
,,3.26,1.48,5.19,3.95,,3.26,1.48,5.19,3.95,,2.82,0.6,5.39,3.48
,,2.5,1.46,5.36,4.01,,2.5,1.46,5.36,4.01,,1.16,0.69,5.49,3.48
,,2.51,1.43,5.74,4.04,,2.51,1.43,5.74,4.04,,2.79,0.81,5.54,3.48
,,1.82,1.42,5.81,4.02,,1.82,1.42,5.81,4.02,,2.69,0.71,5.57,3.48
