Env Ext Mean,Env Flex Mean,Raw Ext Var,Raw Flex Var,Label
2.58,0.57,3.9000000000000004,0.18,Pinch
0.95,0.89,0.6900000000000001,0.12,Scissors
1.87,0.89,2.4000000000000004,0.03,Paper
1.98,0.78,1.17,0.06,Handshake
0.66,1.39,0.27,0.5700000000000001,Rock
1.66,0.59,2.52,0.03,Paper
3.5,1.22,0.30000000000000004,0.44999999999999996,Rock
1.42,1.5,1.5,1.3800000000000001,Handshake
0.95,1.28,0.54,0.6900000000000001,Rock
1.16,0.52,0.44999999999999996,0.03,Thumb
0.41,0.63,0.21000000000000002,0.09,Rock
1.95,1.34,1.26,0.63,Rock
0.34,0.85,0.12,0.15000000000000002,Thumb
2.14,0.59,1.7999999999999998,0.0,Paper
3.57,1.63,2.37,0.03,Paper
0.6,0.5,0.21000000000000002,0.03,Thumb
4.74,2.67,1.29,0.18,Peace
0.76,1.62,0.30000000000000004,0.8400000000000001,Rock
1.89,0.65,3.1500000000000004,0.03,Pinch
2.71,0.42,0.72,0.03,Thumb
1.11,0.54,1.1400000000000001,0.03,Paper
1.02,0.55,0.9299999999999999,0.06,Scissors
1.3,0.7,1.29,0.03,Scissors
1.78,0.7,0.18,0.06,Thumb
3.45,0.76,0.78,0.15000000000000002,Peace
0.62,0.89,0.24,0.06,Thumb
1.07,0.29,0.99,0.03,Paper
4.57,1.23,1.08,0.06,Scissors
0.86,0.45,0.5700000000000001,0.06,Thumb
3.57,0.94,1.29,0.03,Pinch
0.94,1.45,0.78,0.54,Handshake
1.23,1.31,1.2000000000000002,0.03,Pinch
0.7,0.96,0.09,0.09,Rock
0.71,0.54,0.36,0.06,Handshake
1.14,0.56,1.56,0.09,Scissors
1.5,0.55,0.78,0.09,Handshake
0.93,0.39,0.24,0.03,Thumb
1.57,1.36,1.1400000000000001,0.12,Paper
0.29,1.39,0.15000000000000002,0.54,Rock
1.95,0.43,2.7,0.15000000000000002,Pinch
0.89,0.47,0.75,0.06,Scissors
1.98,1.13,0.21000000000000002,0.03,Thumb
1.11,0.57,1.35,0.09,Scissors
1.64,0.73,1.32,0.03,Pinch
